t,input_il6,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSOCS3RNA5_Obs
1200,0.1,0.496405206114659,0.000639766266910181,0.00221422922499283,-0.00842410962517502
1200,0.1,0.527541070839539,-8.64921374417731e-05,0.00212679849231312,-0.00064885135937513
1200,0.5,0.481755708033593,-2.8903405534908e-05,-0.000354195475978836,-0.00137188176921089
1200,0.5,0.523798807461134,0.00211573089060839,0.00186710295150288,-0.00575165228292822
1200,1,0.463096339558935,0.00145840376151227,0.00348953515304032,0.00800193812790637
1200,1,0.556947556195361,0.0022217108845746,0.00013556266143223,0.0123619723197247
1200,2.5,0.487229886816919,0.000869465427947428,0.00378027619352806,-0.00824231653464766
1200,2.5,0.5098421740392,0.00184986283708701,0.00479550848844046,0.00546031070817567
1200,5,0.239647218655563,0.00304858895819518,0.00945899584833933,0.0165436484512735
1200,5,0.398559067540073,0.00379913701892665,0.00845674385348008,-0.0218392958926715
1200,10,0.252554249049079,0.00486290728530038,0.0118036603691454,0.0380114057610941
1200,10,0.404069954390866,0.00592632990394846,0.0101378596012691,0.0555070523311827
1200,25,0.109044139382226,0.0065021883845898,0.0147704042212386,0.13980410837446
1200,25,0.15009704353721,0.00873352113689021,0.0147562412228346,0.147953383233922
1200,50,0.115917308438558,0.0104692314575031,0.0192291881676223,0.204763483567242
1200,50,0.146862668233273,0.00909607567498878,0.0201575895109911,0.188874447707919
1200,100,0.0646208708920298,0.0119650864548822,0.0258623160590227,0.261453545296666
1200,100,0.0681768732118702,0.0134487906323936,0.0278615102286891,0.243084889871086
1200,500,-0.0273591110348798,0.013917958009477,0.0172781326867137,0.403020220880211
1200,500,0.0309820998718946,0.0134442739562284,0.0166129278959432,0.400672598141671
