t,input_ruxolitinib,SOCS3RNA_Obs
27,0,0.0346803079206001
27,0,0.0367041249835175
27,10,0.0309654835393349
27,50,0.0192736306276845
27,100,0.00977540374604818
27,100,0.0101283321379659
27,200,0.00219381575332691
27,200,0.00285592350636304
27,400,-0.000372941474970951
27,500,-0.00103532851853925
27,500,0.000599660889860027
27,500,0.0009587374028193
27,500,0.00138831664116245
27,600,0.000490598567772893
27,800,0.00183556165707567
27,1000,0.000640063182862607
27,1000,0.00159222904982804
27,2000,-0.000234115615853616
27,5000,-0.000890754111777084
27,5000,0.000795700837329537
