t,nSTAT3_Obs,nSOCS3RNA1_Obs,SOCS3RNA_Obs
0,29.0223170044605,1.31623119037804,0.0150074084685123
3,NaN,-1.82219180997502,NaN
6.5,NaN,2.93475716951419,NaN
7,51.104500183125,NaN,-0.018690699642085
10,NaN,20.563577036069,NaN
15,61.6265691574572,53.3900718793659,0.00385569371580153
20,48.1639715462875,45.4653636524992,0.0334267951924172
25,NaN,19.0810411116526,NaN
30,34.9164166392077,8.3416456105348,0.164816752889671
35,NaN,5.10832640127464,NaN
40,25.7355173307873,NaN,0.261308957188856
45,NaN,0.626616172133825,NaN
50,18.0386605219594,NaN,0.218047632267675
55,NaN,-3.79719388161367,NaN
60,36.2884315508697,NaN,0.128237584981321
75,27.6693422454443,NaN,0.0388973470612565
90,27.1106412382425,NaN,0.00738312750767822
100,35.4550234364508,NaN,0.00429199711132375
150,25.7689783203452,NaN,NaN
