t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA4_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs,Compound_1_Obs
0,0.467735102742403,-0.00103322890527051,0.00538736981643208,37.0326273901915,0.536632777300212,0.187967774977727,-0.3611147644141,-0.000114316351944526,0.00524553360353581,0.29426292158646
8.5,NaN,NaN,NaN,46.2954603994268,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,3.36650503298364,NaN,-0.161259582231783,-0.134961630560136,NaN,NaN
10,NaN,0.0296936536698839,NaN,NaN,NaN,0.861159337358538,NaN,NaN,NaN,NaN
15,0.347082477212203,NaN,0.118852304683635,62.0767356007762,NaN,NaN,NaN,NaN,0.00191766488990826,3.62371166796357
20,NaN,NaN,NaN,NaN,22.3806359828222,14.4497723790992,2.41521552706104,1.4858112800044,NaN,NaN
25,NaN,0.0195619790924061,NaN,43.2826208745888,NaN,NaN,NaN,NaN,NaN,NaN
30,0.0989196081963131,NaN,0.0429326015415241,NaN,7.2203182369817,NaN,10.419962553137,6.34359875672396,0.0551011022212849,NaN
35,NaN,NaN,NaN,30.1915635659356,NaN,8.47091265474523,NaN,NaN,NaN,0.180157843313703
40,NaN,-0.000561691748847747,NaN,NaN,1.64077328222315,NaN,10.6840898137792,10.4420872828755,NaN,NaN
45,-0.0105074750430906,NaN,0.00332089650859125,NaN,NaN,3.11821821873906,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,35.7844196030175,NaN,NaN,NaN,9.54036373292527,0.101441560153649,-0.010920815293112
55,NaN,-0.00100762287279647,NaN,NaN,-0.443708754297206,NaN,5.49297921742769,NaN,NaN,NaN
60,0.0241529800043336,NaN,NaN,32.0512328597085,NaN,0.482619283393268,NaN,NaN,NaN,NaN
65,NaN,NaN,-0.00191724222672613,NaN,NaN,NaN,NaN,4.02752433232895,NaN,NaN
70,NaN,0.00230420374456095,NaN,NaN,-1.04139684749881,NaN,1.35938845519099,NaN,0.0361039980179973,0.0607765762733408
75,NaN,NaN,NaN,33.7114497075905,NaN,-0.634713334422849,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.774273532958057,NaN,NaN
85,-0.00552920172332327,NaN,-0.00105971239906537,NaN,-0.0305631360057175,NaN,-0.279721665059575,NaN,NaN,NaN
90,NaN,0.00332341731363013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,26.7720787947348,NaN,-0.145060053923663,NaN,NaN,0.00667681507256382,0.0922565258740504
100,0.0276880417813395,0.000866774167352536,0.00932288792576634,34.0675858385778,-0.0395029564874861,0.535078145137798,0.201718977168019,-0.144733630254669,0.00515430812116977,0.102487013796917
150,0.110131364606036,0.0083325561366018,0.0370262897959321,NaN,0.998855598065555,0.804673756728613,0.345903992285256,-0.321464833736651,0.00164332365790487,0.81519936703971
200,0.0786655007055003,NaN,0.0176695284548247,NaN,NaN,NaN,NaN,NaN,NaN,0.355901468245763
250,NaN,NaN,0.0361116019424931,NaN,NaN,NaN,NaN,NaN,NaN,0.790001472196503
300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.722166306416362
