t,nSTAT3_Obs,nSOCS3RNA1_Obs,SOCS3RNA_Obs
0,40.1210558518777,0.112514420854476,0.000971658525556953
7.5,NaN,1.21291375253687,NaN
10,48.2572686920078,NaN,-0.00425824043122364
15,NaN,9.26497066469533,NaN
20,50.7193424113054,NaN,NaN
25,NaN,11.8612651154566,0.0133307955114026
35,30.3741055321457,2.70643905494171,NaN
40,NaN,NaN,0.0739299694920106
45,26.2560073852353,0.934076239882423,NaN
55,NaN,0.0132054122413546,0.0634790083064536
60,31.5067758077458,NaN,NaN
70,NaN,0.513128471865079,NaN
75,40.7259692235936,NaN,0.0190435030471423
85,NaN,0.00324159366941236,NaN
95,29.5748301584273,NaN,0.00434041537686242
100,33.2627593871958,0.0221553756177652,0.00206483911942474
150,31.489637640246,NaN,-0.00715033849381972
