t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSOCS3RNA5_Obs
0,0.476520534336008,0.00513941703073196,0.00468647971813372,0.0827356520419439
10,NaN,NaN,0.0328564779235833,-0.34548348978804
15,0.348212942344426,0.0534259065425786,NaN,NaN
20,NaN,NaN,0.0573608737288944,NaN
25,NaN,0.0533691632488695,NaN,0.366839016360002
35,0.245148039507823,NaN,0.047507247352187,1.25093801359462
40,NaN,0.0299387547808738,NaN,NaN
45,NaN,NaN,0.021802793415781,NaN
50,0.0741647915915507,NaN,NaN,2.5594657562851
60,NaN,0.000717931945576878,0.00693531655960995,NaN
70,NaN,NaN,NaN,1.246145953372
75,0.0256952246640267,NaN,NaN,NaN
80,NaN,0.00354399941686948,0.00357490776645629,NaN
90,NaN,NaN,NaN,0.294495493239934
100,0.0363626977622139,0.0098005605907795,0.00272763149452383,0.188428005585517
150,0.118015349767237,0.0171052793174181,NaN,-0.100120061819342
200,0.171223014719604,NaN,NaN,NaN
