t,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,SOCS3RNA_Obs
0,28.5880363613884,-0.00240499910981263,-0.0034003184204013,2.36960229686641e-06
9.5,34.8291399978819,NaN,NaN,NaN
10,NaN,NaN,0.0234253364193999,NaN
15,NaN,NaN,NaN,0.000197123929196856
20,38.4288180274487,0.373722879117256,0.155945533394149,NaN
30,32.3930833053119,NaN,0.543623174802371,0.00113141893154481
40,37.1047599238863,0.574260414336712,NaN,NaN
45,NaN,NaN,0.56034043173745,NaN
50,NaN,NaN,NaN,0.00485343643375188
55,35.3244968748656,NaN,NaN,NaN
60,NaN,0.104339853356312,0.221310883972623,NaN
70,34.456257021099,NaN,NaN,0.00420717760737251
75,NaN,NaN,0.0401185675613249,NaN
90,32.942509575345,0.0414525027548793,NaN,NaN
95,NaN,NaN,0.054061526595582,0.00114203760932081
100,28.4333943136608,0.0383493063966677,0.0247279634692046,0.00120647523167912
150,37.2825102947666,0.102033588191561,NaN,0.000886892814417864
