t,nSTAT3_Obs,nSOCS3RNA1_Obs,SOCS3RNA_Obs
0,27.1815664624232,1.09009491862214,-0.0209586572443609
5,NaN,-1.91143711510947,NaN
8,55.6616555920447,NaN,NaN
10,NaN,41.4064550755701,-0.00747304540038373
15,70.8478163811689,70.7648236023179,NaN
20,NaN,42.4940334988074,0.0553462248483253
25,26.1176313098888,NaN,NaN
30,NaN,8.97547387311718,0.228465941409469
35,27.5326280088327,5.78299994635646,NaN
45,36.1869651050381,0.101369536212933,0.284264201575315
50,NaN,-0.261924783047199,NaN
60,31.344163421315,1.19997997177209,0.135718500974828
75,31.1198237022879,-0.57850847037767,0.0449878488770203
85,NaN,-0.404371635755863,NaN
90,27.2065629192827,NaN,NaN
95,NaN,NaN,0.00814439259538767
100,32.786159827212,0.145757422075994,0.00339959710215221
