t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,1.08780106904039,0.924828285250439,1.02795092146332
0.45,NaN,0.677343134226528,NaN
0.5,NaN,NaN,1.06321906523363
0.55,1.00506060370155,NaN,NaN
0.95,NaN,0.771657007476036,NaN
1,0.918783721104518,NaN,1.18103816916583
1.5,1.05561529347776,0.695369403198983,0.931926606676952
2,NaN,0.887910309663087,0.980024599159235
2.5,0.958812275955818,0.818213406306813,NaN
3,0.955603253923261,NaN,1.01399365007777
3.5,NaN,0.947019021138254,0.963627870587447
4,0.980220712939775,0.977786036471013,NaN
4.5,NaN,NaN,0.998715535541208
5,0.821897358493211,0.977910399412355,NaN
5.5,NaN,NaN,1.10298413629189
6,0.951440683651318,NaN,NaN
6.5,NaN,1.00608097938301,NaN
7,0.937623952532624,NaN,1.03940501644485
8,NaN,1.00281083358766,NaN
8.5,0.912660428046514,NaN,1.0451643556557
