t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,1.01399418826171,0.87230347004625,1.16032420960782
0.3,NaN,0.881460016607388,NaN
0.35,1.09202447772005,NaN,0.923026488151584
0.65,NaN,0.944568004898829,NaN
0.7,1.0109838062851,NaN,NaN
0.75,NaN,NaN,1.00782503538694
1,1.13955449798227,0.985624526719943,0.992117139040063
1.5,1.03965190799314,1.0173839962875,1.00288110565272
2,1.05834199903594,1.0336882039007,0.940452470819578
2.5,1.03409397217592,1.06879372619182,1.00390114973103
3,1.14832329891836,NaN,NaN
3.5,0.852722871489687,0.986256724112233,1.01049528638421
4,NaN,0.908292427044761,0.899965860430294
4.5,1.00203982718604,NaN,NaN
5,NaN,0.967215784062156,0.970920548666704
5.5,1.04686846307281,NaN,NaN
6,NaN,1.06950257750092,0.906119013524239
