t,b10_Obs,bcar_Obs
0,-0.15385210016881,2.73139429755634
20,1.1026976393655,NaN
25,NaN,1.49814287013176
40,1.51972253372487,NaN
55,NaN,0.781577492131366
60,1.92389585261973,NaN
80,NaN,0.338003971391935
85,2.02462370038476,NaN
100,2.01825832952061,0.20359240565295
150,1.81224554677754,0.1196599146677
200,1.5763595511193,0.017187524451273
250,1.3418896735517,-0.0194178363168198
300,1.03575034950706,0.0150425559637772
350,1.07666660235249,0.00390407399397177
450,0.607552298945891,0.0317524346274715
