t,b10_Obs,bcar_Obs
0,-0.216177550510153,3.68839965286747
10,NaN,2.67303472543482
20,1.43804057676015,1.98048525661079
35,NaN,1.48010911423391
40,2.19479541188173,NaN
45,NaN,0.876971867815694
60,NaN,0.56504083018173
65,2.48272533797188,NaN
75,NaN,0.574116632130696
85,2.59959862999672,NaN
90,NaN,0.271071321801051
100,2.65719424214379,0.197892735994311
150,2.40926625722452,-0.0315557924732123
200,1.92800946406902,-0.01855620305361
250,1.43055622653273,NaN
300,1.49721309630862,NaN
350,1.20941055315424,NaN
450,0.662854606649543,NaN
