t,Z_state_Obs,Y_state_Obs,A_state_Obs
0,0.134917397638985,1.04442447099768,0.306890836199395
0.2,NaN,NaN,1.10705734473901
0.25,0.308655895359269,2.99936737765886,NaN
0.4,NaN,NaN,1.67192703044202
0.5,0.336580764539821,NaN,NaN
0.55,NaN,3.74923093894049,NaN
0.65,NaN,NaN,1.4548701613551
0.8,-0.0809263432645455,NaN,NaN
0.85,NaN,4.94446968089381,NaN
0.9,NaN,NaN,1.0985920332074
1,0.151096305904849,4.71992127256238,1.09372592530207
1.5,0.0133662799088576,7.44266493153092,0.391862098327702
2,3.01566991743977,1.7393242381842,0.436497539822082
2.5,1.2712664960023,0.375166755001779,-0.0879181280232471
3,0.960406088261197,NaN,0.261889993980919
3.5,1.02763456007664,-0.847528858546005,0.504379819288237
4,NaN,-0.226863292257156,NaN
4.5,0.677919324037544,-0.264072541905318,NaN
5,1.15312143868576,NaN,NaN
5.5,NaN,-0.362528628206269,NaN
6,0.817207369172288,NaN,NaN
7,NaN,-0.0615693194052191,NaN
