t,IL13_Rec_Obs,p_IL13_Rec_i_Obs,STAT5_Obs,IL13_DecoyR_Obs
0,-0.000101484680280683,-0.551883305203465,74.6437883969364,-0.0117436560320989
5.5,NaN,NaN,NaN,-0.125111237196695
10,NaN,0.311098915844408,48.6768393142349,0.193528448359948
15,6.60853021836664e-05,NaN,NaN,NaN
20,NaN,1.86953346158262,150.634649262148,0.836164961508614
25,NaN,NaN,NaN,0.182330955645412
30,NaN,NaN,40.3977598005944,NaN
35,-4.36862924642882e-05,-0.0140146227793462,NaN,0.110301102887466
45,NaN,0.84165808532272,44.2149450202406,0.0343436483234095
55,3.38920103754329e-05,NaN,-3.11395179006811,NaN
60,NaN,0.473878823080566,NaN,NaN
70,NaN,-0.470530404719217,133.666740208299,NaN
75,0.000125412538040296,NaN,NaN,NaN
85,NaN,NaN,-105.283666522807,NaN
90,NaN,0.310493601107325,NaN,NaN
100,8.29720926441574e-05,0.744247253485796,-67.1139234742302,NaN
150,0.000109621069418348,-0.383859278678226,10.1499852851221,NaN
200,0.00022675403959204,-0.219068387566656,-17.5961758936959,NaN
250,0.000177924170598755,1.79329601433025,68.0058226312738,NaN
300,4.66746564141186e-05,1.2276894306935,65.4995237051607,NaN
