t,IL13_Rec_Obs,STAT5_Obs
0,2.29610662132261e-05,145.327885783326
10,NaN,198.682301369788
15,7.7444879154696e-05,NaN
20,NaN,218.87528740903
30,4.83728550595211e-05,NaN
35,NaN,178.215289090545
45,2.41620426318432e-05,-31.0959453529491
60,3.49365403350401e-05,-14.6656781646204
75,4.22319938300618e-05,46.7758636194349
90,NaN,106.698071095569
95,3.93352241716723e-06,NaN
100,-1.48815686388801e-05,57.2377579607302
150,4.69376425231488e-05,181.122646721217
200,2.01873029095356e-05,123.295305762751
250,5.51867190318231e-05,181.525562207282
300,0.000141555847130198,175.528793099446
