t,STAT_Obs,pSTAT_Obs,npSTAT_npSTAT_Obs,nSTAT2_Obs,nSTAT3_Obs,nSTAT4_Obs,nSTAT5_Obs
0,1.08247207871309,1.00167360527404e-05,0,0.00090409721103904,0,9.68412840687206e-05,0.000110013401573518
5.5,0.0564502733821876,NaN,NaN,NaN,NaN,NaN,0.0148172052038987
6,NaN,NaN,0.113740813726375,0.10355899024711,NaN,0.0429172728423921,NaN
6.5,NaN,0.0043395349349205,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,0.118456432637205,NaN,NaN
10,0.0285211219420378,NaN,NaN,0.2451653961222,NaN,0.169363421772106,0.13051720316669
15,0.0548991829415167,0.00585988316293658,0.104519679403442,NaN,0.174347531078564,NaN,0.182158513585766
20,NaN,0.00615606171876903,0.0948133243706948,0.192733984750935,NaN,0.2218101744426,NaN
25,0.0626439292676794,0.00595915719846374,0.0720304161027738,0.223291387517878,0.16125349696014,0.166488813377627,0.163371711828282
30,0.0835100977999447,NaN,NaN,NaN,0.169848276165842,NaN,0.202805112014965
35,NaN,0.00514618909515764,0.0536086117334401,0.17487809968228,NaN,0.160306901010585,NaN
40,0.239454698407724,NaN,NaN,0.10831397249091,0.165630865302102,0.137907488317633,0.167013516094461
45,0.665036437493218,0.00174881093671454,0.044122498024776,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,0.0789629372353427,NaN,0.0729038969641119,0.0975356050812884
55,1.16821284127329,0.000641000466056288,0.0231766421512761,NaN,0.035196764337038,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,0.0318900651309733,0.0462589786175898
65,NaN,0.000226189311155171,0.0071630548930827,0.0194992754670931,NaN,NaN,NaN
70,0.900012487980141,NaN,NaN,NaN,0.0132497036356691,0.0129885715134427,0.0145661025027921
75,NaN,0.000146796698366814,NaN,NaN,NaN,NaN,NaN
80,1.1916557827286,NaN,0.00213624698843704,0.0042383707514015,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,0.00279943764298193,0.00253649596963747,0.00368999007868657
90,NaN,0.000157977666872064,NaN,NaN,NaN,NaN,NaN
95,0.848383056761844,NaN,NaN,0.00182014037126699,NaN,NaN,NaN
100,NaN,0.000146152879790849,0.00021414821573429,NaN,0.000450009131839456,0.00112992088331659,0.00106823798383849
