t,RAF_Obs,pRAF_Obs,MEK_Obs,pMEK_Obs,pERK_Obs
0,1.13564515343966,2.1543973344204e-05,0.990773004637489,0.00152612780127792,0.0877583245787763
0.3,0.948742638964125,NaN,NaN,NaN,NaN
0.45,NaN,NaN,0.998802012145034,NaN,NaN
0.5,NaN,0.00024867979847599,NaN,0.0117403353790803,NaN
0.6,1.0749795798399,NaN,NaN,NaN,NaN
0.9,NaN,NaN,1.05928199648085,NaN,NaN
0.95,1.25442681121013,NaN,NaN,NaN,NaN
1,NaN,0.000152323766908149,NaN,0.00896032973656861,NaN
1.5,0.738518003412747,0.000140193150457502,1.01031942434952,0.00701085669307109,NaN
2,0.862198009584667,9.84451172241429e-05,0.940876649618834,0.00513350261456299,0.272323393102251
2.5,0.955513751312082,NaN,1.18358068457929,NaN,NaN
3,0.944099377864462,7.31504846319123e-05,1.08726145402617,0.00202394742542821,NaN
3.5,NaN,NaN,NaN,0.00191991452838608,NaN
4,0.927972608316809,1.11304450531509e-05,0.823061862317483,NaN,0.113561071766151
4.5,1.01187656496568,NaN,0.721353224093471,0.000680176682778837,NaN
5.5,1.08228282448163,NaN,0.916794754306997,NaN,NaN
6,NaN,NaN,NaN,0.000251403905517081,NaN
6.5,NaN,NaN,NaN,NaN,0.036703845932173
7,NaN,NaN,0.640630068441262,0.000449238468571545,NaN
8.5,NaN,NaN,0.896263045859688,NaN,NaN
9,NaN,NaN,NaN,NaN,0.0677183724621982
10,NaN,NaN,NaN,NaN,0.0601429762746888
15,NaN,NaN,NaN,NaN,0.0505174885229649
20,NaN,NaN,NaN,NaN,0.0288196988060137
25,NaN,NaN,NaN,NaN,0.0563327571550492
