t,RAF_Obs,pRAF_Obs,MEK_Obs,pMEK_Obs,pERK_Obs
0,0.784165582315366,6.26236434766784e-06,1.02716387562126,0.00105611907197482,0.133936074887145
0.3,0.962459238290085,NaN,NaN,NaN,NaN
0.45,NaN,NaN,0.929085310643807,NaN,NaN
0.65,1.20726952735469,NaN,NaN,NaN,NaN
0.9,NaN,NaN,1.03035968915944,NaN,NaN
0.95,0.619343730008458,NaN,NaN,NaN,NaN
1.5,0.945447418946417,NaN,1.08649170656023,NaN,NaN
2,0.947970173323089,NaN,1.1059832158257,0.0143207790534598,0.511907282395782
2.5,0.86877610185077,5.35651087064074e-05,0.909110145815686,NaN,NaN
3,1.13295491019917,NaN,1.21950404440568,NaN,NaN
3.5,1.10924371893344,NaN,NaN,NaN,0.310161406743643
4,NaN,NaN,0.801308731675193,0.00459175430141108,NaN
4.5,0.984810985059603,NaN,NaN,NaN,NaN
5,NaN,1.29247716206812e-05,1.07185741136013,NaN,NaN
5.5,NaN,NaN,NaN,NaN,0.153098371367277
6,NaN,NaN,0.884099772811219,NaN,NaN
6.5,NaN,NaN,NaN,0.000861793184360822,NaN
7,NaN,NaN,1.07045055156643,NaN,NaN
7.5,NaN,NaN,NaN,NaN,0.0798669593325713
8,NaN,8.97438085086171e-06,NaN,NaN,NaN
9,NaN,NaN,NaN,0.00273037043532579,NaN
10,NaN,9.72374115992491e-06,NaN,0.00170220735053863,0.135959643973584
15,NaN,7.27865724839359e-06,NaN,0.00167224849113188,0.117202373911973
20,NaN,8.10694553703411e-06,NaN,0.00215058024082213,0.0806780293041207
25,NaN,1.00064852319303e-05,NaN,0.00138116401595192,0.103649079242753
