t,RAF_Obs,pRAF_Obs,MEK_Obs,pMEK_Obs,pERK_Obs
0,1.17122945848529,-1.30510038815472e-06,1.12834716680431,0.00314859803509891,0.10317859304241
0.25,1.05742809260706,NaN,NaN,NaN,NaN
0.4,NaN,NaN,0.913358058393697,0.04035235343228,NaN
0.5,NaN,0.000297781424621995,NaN,NaN,0.0512942164372402
0.55,1.15994432824168,NaN,NaN,NaN,NaN
0.75,NaN,NaN,1.08480485697682,NaN,NaN
0.8,NaN,NaN,NaN,0.0479271403614783,NaN
0.85,1.12134759706721,NaN,NaN,NaN,NaN
1,1.22679831409314,0.000212537514227581,1.10965329084293,0.0392651255162775,0.0508646926593167
1.5,0.849250027746445,0.000153718978443007,1.01026654143011,0.0280198487603723,0.0484932103017939
2,1.11953483204485,8.97463491664755e-05,1.04938300701006,0.0203144856585243,0.0261782828353496
2.5,0.944401664727826,NaN,1.32393047992434,NaN,NaN
3,0.810583042957747,9.02255744075091e-05,NaN,0.0174551197204636,0.0189276676962469
3.5,0.939207999527336,5.77079761576386e-05,1.02377761906994,0.0129772295996178,0.0134377365701697
4,NaN,NaN,1.07436940152921,0.0094110683142061,NaN
4.5,1.04940219560985,5.90306255181808e-05,NaN,NaN,0.0107734563517036
5,NaN,NaN,1.02769647348465,0.0113015690135825,NaN
5.5,NaN,8.0617073328246e-05,NaN,NaN,0.0151297392763458
6,NaN,NaN,0.896337631144633,0.00543453876838978,NaN
6.5,NaN,NaN,NaN,NaN,0.0114729505736691
7,NaN,6.44017276992617e-05,0.950348103558016,NaN,NaN
7.5,NaN,NaN,NaN,0.0118262510742571,NaN
8.5,NaN,6.30027038203393e-05,NaN,NaN,0.0126911220524447
