t,Z_state_Obs,Y_state_Obs,A_state_Obs
0,-0.0244371051814781,0.54352303154874,1.2145551017782
0.1,NaN,NaN,1.44419346844127
0.15,0.78675995245798,0.229324028033928,NaN
0.25,0.410864491137841,0.249058129066053,0.130616809579548
0.4,0.53831751843277,NaN,-0.00872992517290477
0.45,NaN,0.218530186599999,NaN
0.55,NaN,NaN,0.216171402411559
0.6,0.526379578383177,0.0806846960833539,NaN
0.7,NaN,NaN,0.0913127544748557
0.8,0.683360907500806,0.159631380857251,NaN
0.9,NaN,NaN,0.594097841177184
1,0.514303047571751,0.114543456227308,0.601172066169983
1.5,0.578477068508978,0.0275610895661273,0.208278625618594
