t,Epo_Obs,Epo_EpoR_i_Obs,dEpo_i_Obs
0,1307.47623287646,1.14930248172902,0.0984558629125942
20,NaN,117.298013034896,NaN
25,735.326064003577,NaN,NaN
35,NaN,NaN,4.46986647007647
45,NaN,341.098874777686,NaN
50,825.889348563997,NaN,NaN
65,NaN,NaN,11.4385907987452
70,NaN,232.59664125473,NaN
75,448.033250696401,NaN,NaN
95,NaN,254.143638260898,NaN
100,674.57079429409,205.428742875155,25.8664689310125
150,226.164457554893,150.917132464984,43.9083146387029
200,305.90843187198,88.2151529396655,72.5104367823934
250,117.284218696769,177.724469422413,64.0701495678523
300,78.0995312885474,137.217010710171,51.996845543561
350,NaN,44.9907787586471,78.5262382737799
400,55.8939989429964,42.3630933859985,69.2674786235513
450,41.4012784982023,NaN,NaN
500,NaN,14.6683958936815,73.3521075943563
550,16.8620957115863,NaN,NaN
600,NaN,NaN,118.454431165051
750,NaN,NaN,166.188031646631
