t,Rec2_Obs,Compound_1_Obs,Compound_2_Obs
0,437.782217870158,0.125414152886109,-0.0273817049105715
10,850.612288845116,0.112257083064487,0.0732522318346172
20,NaN,-0.0258583125922135,0.547843554289992
25,352.472503640661,NaN,NaN
30,NaN,0.0373487824116933,0.795597926835353
35,586.800284239719,NaN,NaN
45,NaN,0.303616287988663,0.142864897046909
50,507.366582682622,NaN,NaN
55,NaN,0.32114897858011,0.650855579432841
65,518.466658726923,NaN,NaN
70,NaN,0.256625677431669,0.716855212356753
80,346.156573008166,NaN,NaN
85,NaN,0.296092025845475,0.457724286247029
100,638.04914997099,0.549127997359982,0.510561883225296
150,512.977194177291,0.479157622834938,0.888852546910044
200,905.626276558379,0.601188156845359,0.819720131425771
