t,Rec2_Obs,Compound_1_Obs,Compound_2_Obs
0,649.275137925471,-1.21041958675303,-0.560191411581508
9,NaN,NaN,1.09077152646483
9.5,302.549902878841,0.203691431592297,NaN
20,588.08760328366,1.24863025011015,5.85866878699375
30,646.268554952755,0.0425411052148525,5.49993101582655
40,775.430576137985,2.50113836138503,4.88567996108461
50,675.541768195243,NaN,6.41616316767612
55,NaN,3.77947890488267,NaN
60,NaN,NaN,7.27643539030177
65,606.639406342669,3.2609677447416,NaN
75,NaN,NaN,6.02574647957368
80,762.702135834978,2.14420431719415,NaN
90,NaN,NaN,7.0733009981354
95,886.942868388835,NaN,NaN
100,417.996772720286,3.76943562657381,8.01872565237798
150,661.41097648692,5.58355184857761,6.47085996435315
200,447.997967767495,6.45001722854466,8.82196266470906
