t,IR1in_Obs,BoundUnspec_Obs
0,7.94368616570341,-99.0140812081497
5,NaN,285.465947511204
8.5,22.5241318217956,NaN
10,NaN,562.785838781926
15,20.9855643326219,371.311469086331
20,NaN,320.678921477208
25,55.2749622785476,537.692939730953
35,20.1685106930255,158.026019398943
40,NaN,297.882320444398
45,33.4772721087745,324.9766989292
55,37.9170140292734,178.906747960397
65,NaN,270.474148988344
70,32.4620076383426,NaN
75,NaN,184.143685631684
85,43.1036777838185,NaN
90,NaN,51.0679387336747
100,23.4081401957488,212.452734054382
150,43.1043533437822,115.33315389382
200,37.048472962553,NaN
