t,IR1in_Obs,BoundUnspec_Obs
0,0.370751164658512,-5.66780065967752
5.5,NaN,42.8780443071974
8.5,5.34965511580724,NaN
10,NaN,41.5472476044041
15,3.29964498656955,34.5920672663926
25,8.02634096638433,37.5717241038516
30,NaN,25.0514292067472
35,3.92806997772245,NaN
40,NaN,36.6119781154882
45,6.50538513270778,15.7578696980621
55,NaN,18.6766080394197
60,5.44282301174648,NaN
70,7.9779218406528,17.1837757733463
80,NaN,12.854149811995
90,2.92882833762095,NaN
95,NaN,10.5933484165434
100,2.65954455483098,24.9409221177832
150,5.00291754684428,NaN
200,5.44678942491807,NaN
