t,IR1in_Obs,BoundUnspec_Obs
0,-4.09540371945207,-5199.64315095054
4.5,45.362616536699,NaN
6,NaN,3515.83069877029
9.5,61.3083321453628,NaN
10,NaN,7142.2612169267
15,55.0841523873607,NaN
20,47.072375233354,4682.97243179367
25,33.2641885074786,4756.14482622678
30,NaN,7458.98386809715
35,50.8890164200538,NaN
40,25.4391197732708,4484.24008468373
45,NaN,5001.32546251865
50,47.5248316295234,NaN
55,NaN,5353.66615208663
60,36.9075521423919,NaN
65,NaN,4650.38339210796
75,42.0393161829049,2128.66915668569
85,NaN,5387.58129383356
90,42.3517149072716,NaN
100,NaN,2899.52854829439
150,NaN,6571.6021102102
200,NaN,3501.9128132413
