t,RII_C_2_Obs,AC_Fsk_Obs,RIIp_2_Obs,Csub_Obs,Csub_H89_Obs
0,0.595218846757037,0.0948372008857678,0.0974684526817772,0.211947412289142,-0.0258088126463051
20,0.430142081066412,-0.0249514031465955,NaN,0.145341613737657,0.122820635077438
25,NaN,NaN,0.117670949582613,NaN,NaN
40,NaN,NaN,NaN,0.105071553191028,NaN
45,0.604416679528211,0.0465956548093901,NaN,NaN,0.180285325065188
50,NaN,NaN,0.0823897284688294,NaN,NaN
65,NaN,-0.0358220448046029,NaN,0.0769592760414376,0.219272674636711
70,0.473412125361315,NaN,NaN,NaN,NaN
75,NaN,NaN,0.0844566671737534,NaN,NaN
85,NaN,NaN,NaN,0.0503163110800846,NaN
90,NaN,0.0333797616455769,NaN,NaN,NaN
95,0.548021507019202,NaN,NaN,NaN,0.275296806686626
100,0.463402850275431,0.0750544814374001,0.0761561002226888,0.0718180306232926,0.299995268441543
150,0.422418858222243,0.0809102529081075,0.079833915608367,0.0602045897691347,0.422936758796012
200,0.404947588327816,0.0399096624574711,0.0996474812556553,0.0290186524526754,0.438481914984545
250,0.401584364487689,-0.223540846289561,0.0791021419775249,0.024859616788052,0.443370916051609
300,0.36598556456603,0.0285239714111012,0.0526961911660739,0.0243508189977633,0.466394997421383
350,0.31112923621016,NaN,0.0762284333449062,0.023069812439292,0.514277365000481
450,0.226226968625662,NaN,0.0606314902199913,0.0271865989202664,0.598130828003972
