t,RII_C_2_Obs,Sp8_Br_cAMPS_Obs,AC_Fsk_Obs,RIIp_2_Obs,Csub_Obs,RIIp_Sp8_Br_cAMPS_C_2_Obs
0,0.587868311042793,0.39505706391866,0.115131087040963,0.119936527217752,0.20774719843715,-0.0100299456258305
1,NaN,NaN,0.158568869965415,NaN,NaN,NaN
2.5,NaN,NaN,0.117696539593554,NaN,NaN,NaN
3.5,NaN,2.56792081063093,-0.131914480549531,NaN,NaN,NaN
4.5,NaN,NaN,NaN,0.151218392351512,NaN,NaN
5,0.749605480435816,NaN,-0.0299626795284032,NaN,NaN,NaN
5.5,NaN,NaN,NaN,NaN,0.288610290521637,NaN
6,NaN,NaN,NaN,NaN,NaN,0.179186912039156
6.5,NaN,NaN,-0.0504753992032008,NaN,NaN,NaN
7.5,NaN,3.78517774876125,NaN,NaN,NaN,NaN
8,NaN,NaN,0.327669463367256,NaN,NaN,NaN
9,NaN,NaN,NaN,0.162520240963014,NaN,NaN
9.5,NaN,NaN,0.151000189935963,NaN,NaN,NaN
10,0.694220416524832,5.06012464835407,0.0974523730329164,NaN,0.280561286603284,0.154559072102771
15,0.615546586731049,7.03773340323092,0.0660154340066108,0.159521341528467,NaN,NaN
20,0.51353188509859,5.74985039948847,0.269364231123569,0.186212314891944,0.242770682337214,0.128253591328107
25,NaN,8.43084057165357,-0.196146189266077,0.171656402154825,0.260558914557579,0.161130625893581
30,0.647469767507074,8.08694448376507,0.163887750247699,0.146252320157566,NaN,0.126332430086066
35,0.718894871332236,9.42761876715,0.0868717840584962,NaN,0.314199888184335,NaN
40,NaN,8.57773620478581,0.139207451530215,0.175783624428351,NaN,0.120628129256693
45,0.571415935402157,NaN,NaN,NaN,0.320311953136959,NaN
50,NaN,10.5055922325072,NaN,0.164811010212859,NaN,0.116948368650239
55,NaN,NaN,NaN,NaN,0.245087731564466,NaN
60,NaN,9.89649218248179,NaN,0.148070310633758,NaN,0.136127197692673
70,NaN,9.902191577818,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,0.134923049259282
90,NaN,NaN,NaN,NaN,NaN,0.133291739691489
100,NaN,NaN,NaN,NaN,NaN,0.12147702862401
