t,cAMP_Obs,RII_C_2_Obs,AC_Fsk_Obs,Csub_Obs,Csub_H89_Obs
0,0.0342202535046289,0.655194127730726,-0.0118149437657831,0.202945397379808,-0.0244861718335725
7,NaN,NaN,-0.00185506444492396,NaN,NaN
7.5,-0.0570721915611942,NaN,NaN,NaN,NaN
15,0.0336117175362908,NaN,-0.00185545012957684,NaN,NaN
20,NaN,NaN,0.00563353845913514,NaN,-0.0107077517248583
25,0.0269654857132199,0.557835404156084,NaN,0.21432944791212,NaN
30,NaN,NaN,-0.00011083026602998,NaN,NaN
35,0.0373142347774977,NaN,NaN,NaN,NaN
40,NaN,NaN,-0.00549865884534729,NaN,0.0237508607169962
45,0.00372238870327239,NaN,NaN,0.206919945393927,NaN
50,NaN,0.565745427190144,-0.000706284769984454,NaN,NaN
55,0.0237671781517439,NaN,NaN,NaN,NaN
65,NaN,NaN,0.1283513973745,NaN,0.0619360769910798
70,1.39274318461292,NaN,NaN,0.193806508094002,NaN
75,NaN,0.600240877802855,NaN,NaN,NaN
80,NaN,NaN,0.139046785549996,NaN,NaN
85,NaN,NaN,NaN,NaN,0.0685132656904015
90,1.34084491743056,NaN,NaN,NaN,NaN
100,1.54976777624622,0.625768672269097,0.133859636211577,0.176028993523379,0.0707220024158549
150,NaN,0.631370453334138,NaN,0.130930031161573,0.120617716680548
200,NaN,0.484142900339588,NaN,0.133663004110868,0.16887326477945
250,NaN,0.502790799798778,NaN,NaN,0.173964412251979
300,NaN,0.469903856247368,NaN,0.114375725889518,0.184147308937166
350,NaN,0.519468629054851,NaN,0.117265367467905,0.234886967994592
450,NaN,0.48860619370343,NaN,0.0863018813271193,0.290104545855776
