t,cAMP_Obs,RII_C_2_Obs,AC_Fsk_Obs,RIIp_2_Obs,Csub_Obs
0,-0.203465697002482,0.535294540658833,0.0728043144123433,0.115687473382173,0.218499896035145
6.5,NaN,0.597256788863019,NaN,0.113573964677995,NaN
9,0.687828075883804,NaN,NaN,NaN,NaN
15,NaN,0.680648245795248,0.355011993249555,0.128646553360784,0.198789189995068
20,3.52101232249245,0.544191554446167,NaN,0.149386306906795,NaN
25,NaN,NaN,0.344020014086464,NaN,0.264029910397114
30,3.3194774089801,0.539092407188847,NaN,0.150683432338351,NaN
35,NaN,0.751194981568662,NaN,NaN,NaN
40,3.78621710054207,NaN,0.396855346708814,0.156261743816443,0.274645283070317
45,NaN,0.527148100645672,NaN,NaN,NaN
50,3.79970129149875,NaN,NaN,0.157104918461659,NaN
55,NaN,NaN,0.323020538607798,NaN,NaN
60,3.73735189229373,0.635091291851128,NaN,0.16382899288312,0.215947666848433
70,NaN,0.498470278480264,NaN,NaN,NaN
75,2.79912151460847,NaN,0.2875758675312,NaN,0.194732064143018
85,NaN,0.611885242266918,NaN,NaN,NaN
90,3.23200365483812,NaN,0.324723141599247,NaN,NaN
95,NaN,NaN,NaN,NaN,0.289173366555403
100,3.13628964060533,0.574022420564254,0.340870885577579,NaN,0.225102356668822
150,3.36584869747653,NaN,0.317621795328303,NaN,0.241542699714208
200,3.86450941388333,NaN,0.415815274837395,NaN,0.290431276474829
250,NaN,NaN,0.422336899635282,NaN,0.212990827300265
300,NaN,NaN,NaN,NaN,0.231872867503467
