t,cAMP_Obs,RII_C_2_Obs,AC_Fsk_Obs,RIIp_2_Obs,Csub_Obs
0,0.0414118710050828,0.615178257703927,0.00172948271940402,0.112574105325703,0.246087485325464
7,-0.0202657869021899,NaN,NaN,NaN,NaN
8,NaN,NaN,-0.000394207019476406,NaN,NaN
8.5,NaN,0.600287759111067,NaN,0.12147439257413,NaN
9.5,NaN,NaN,NaN,NaN,0.160850791855492
15,0.089032009343856,0.485416947214072,0.00296996682541167,0.142290442958899,NaN
20,NaN,NaN,NaN,NaN,0.266408241211815
25,0.066013387416428,0.656736866523862,0.00113020675835989,0.0897110782576147,NaN
30,0.0453239620530801,NaN,NaN,NaN,0.220834210809379
35,NaN,0.548189979746642,0.00179028388962322,0.0953533096980246,NaN
40,0.0509700769433976,NaN,NaN,NaN,0.270847356270136
45,NaN,NaN,0.000297156548613913,0.0955987350456736,NaN
50,0.0481351370993291,0.662781123666367,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,0.251120557162822
60,NaN,0.558284719531867,-0.00199430380548408,0.112181793760213,NaN
65,0.54926595860021,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,0.137764132113687,0.218122411467007
75,NaN,0.444874603881325,0.0518496571588618,NaN,NaN
80,0.563503472506556,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,0.138331577181292,0.197826697247618
90,NaN,0.517126788246104,0.0478934768676909,NaN,NaN
95,0.547908234358372,NaN,NaN,NaN,NaN
100,0.580804891059724,0.609349427274273,0.0517507662967302,0.137061194517951,0.225668445053126
150,NaN,0.584195338454412,NaN,0.105540672437929,0.306103416294723
