t,cAMP_Obs,RII_C_2_Obs,AC_Fsk_Obs,RIIp_2_Obs,Csub_Obs
0,-0.0311790898802315,0.528866345709601,0.00343360597816639,0.113411906332865,0.174336679815264
6,0.0673775345312267,NaN,NaN,NaN,NaN
7,NaN,NaN,0.00704979076289484,0.145298644285038,NaN
8,NaN,NaN,NaN,NaN,0.219855737542916
10,-0.0681004931371836,0.672515695495396,NaN,NaN,NaN
15,NaN,NaN,0.00721547472770642,0.118871442044159,0.219719657679854
20,0.0331496331095456,0.687358283620797,0.00705681890100827,0.0943324575733027,NaN
25,-0.0111833684916952,NaN,NaN,NaN,0.226443495855811
30,NaN,0.541025679716131,0.00775776349845067,0.0881984276099881,NaN
35,-0.04431537660008,NaN,NaN,NaN,0.19569600583231
40,NaN,NaN,0.00556784855307516,0.0916755205094984,NaN
45,0.034151427487608,0.477435492526329,NaN,0.119584047409451,0.230990191996984
50,NaN,NaN,-0.00416237249614424,NaN,NaN
55,0.0184820725048093,0.517379452153517,NaN,NaN,NaN
60,NaN,NaN,NaN,0.111318106220676,0.153937891744044
65,1.49298710397416,NaN,0.134564229925935,NaN,NaN
70,NaN,0.559181051171256,NaN,0.123994310450561,NaN
75,NaN,NaN,NaN,NaN,0.223121598388236
80,1.50201716358141,NaN,0.141519202397692,NaN,NaN
85,NaN,NaN,NaN,0.136365610449299,NaN
90,NaN,0.511914219434193,NaN,NaN,0.262010178785936
100,1.39328829380997,0.525045592758848,0.140822925675527,0.143297599305264,0.255656564691127
150,NaN,0.558282560428573,NaN,NaN,0.225119209117638
200,NaN,0.54769566011101,NaN,NaN,NaN
