t,cAMP_Obs,RII_C_2_Obs,AC_Fsk_Obs,RIIp_2_Obs,Csub_Obs
0,2.55220098945718,0.636017564626173,-0.026098140570519,0.121124266775553,0.237247317208604
0.15,NaN,NaN,0.379435328439734,NaN,NaN
0.35,NaN,NaN,0.343106979716138,NaN,NaN
0.55,NaN,NaN,0.342145126115626,NaN,NaN
0.8,NaN,NaN,0.338366420330469,NaN,NaN
1,NaN,NaN,0.376748786049407,NaN,NaN
1.5,NaN,NaN,0.32182793672214,NaN,NaN
2.5,29.2938031757197,0.576458609969414,NaN,0.119257994997087,0.203454553983602
4.5,NaN,0.561465538478259,NaN,NaN,NaN
5,NaN,NaN,NaN,0.149363891018037,0.22038264554571
5.5,25.2881178715433,NaN,NaN,NaN,NaN
7,NaN,0.558194701013923,NaN,NaN,NaN
7.5,NaN,NaN,NaN,0.138349723662095,0.254681846314457
9,29.6499443197312,NaN,NaN,NaN,NaN
10,NaN,0.607475958325035,NaN,0.17427147984638,0.254346822492141
15,31.2178697754442,0.511862809826341,NaN,0.14334348533268,0.278605479395881
20,29.1940775682222,0.676853478111855,NaN,0.137105403351961,0.244990502979665
25,NaN,0.626228501800933,NaN,0.172957371067846,0.228349758862438
30,NaN,0.555815273222698,NaN,0.146371494545884,0.221195511332097
40,NaN,0.533313603155297,NaN,0.12569736876255,0.279099153018859
