t,cAMP_Obs,RII_C_2_Obs,AC_Fsk_Obs,Csub_Obs,Csub_H89_Obs
0,0.0664022659021875,0.581381152120291,0.000863479077960725,0.198260170001793,-0.00993431656360633
7.5,0.0429462538446265,NaN,-0.000317506597979807,NaN,NaN
15,0.0185622341891767,NaN,-0.00139919610508672,NaN,NaN
20,NaN,NaN,NaN,0.201184923191864,0.0778179192673988
25,0.0456291703798654,0.607952143179848,0.0114929755766899,NaN,NaN
30,-0.0497773621009571,NaN,NaN,NaN,NaN
35,NaN,NaN,0.00643729380554214,NaN,NaN
45,0.092020688894819,0.489344738148434,0.00801858386775399,0.147661356047913,0.131852601817286
55,0.0104492561452249,NaN,0.002473039712923,NaN,NaN
70,1.37755023633804,0.575959519804635,0.146660910770922,0.167389979261994,0.102413849931541
85,1.53762508740509,NaN,NaN,NaN,NaN
90,NaN,NaN,0.136940401612047,NaN,NaN
95,NaN,NaN,NaN,0.131852138143384,NaN
100,1.35636838644899,0.5934499330376,0.141635172794703,0.108089384667775,0.14122339075687
150,NaN,0.580269797571993,NaN,0.0983535357148856,0.257494486088943
200,NaN,0.439673477767121,NaN,0.0637570686781291,0.307598436308598
250,NaN,0.425124903404998,NaN,0.0815750111448037,0.334848511501271
300,NaN,0.47977082029574,NaN,0.0762598478942548,NaN
350,NaN,0.39844333368664,NaN,0.0403025214731995,0.439354249701023
450,NaN,0.352829447321359,NaN,0.0368904786282251,0.373215814343382
