t,cAMP_Obs,RII_C_2_Obs,Rp8_pCPT_cAMPS_Obs,Rp_cAMPS_Obs,RIIp_Rp8_pCPT_cAMPS_C_2_Obs,AC_Fsk_Obs
0,0.0300431964661554,0.608467145197829,-0.0551293829803704,0.0546143607418186,-0.116131456010671,-0.0596993260520683
3,NaN,0.62413097758891,0.064083647219621,-0.000509071436557129,0.153193645671498,0.124244263138551
6,NaN,0.480340301756952,NaN,NaN,NaN,-0.0328997887019761
6.5,NaN,NaN,0.135530198433147,-0.0328542367375393,0.157839971530635,NaN
8,0.0272937222327416,NaN,NaN,NaN,NaN,NaN
9,NaN,0.640448788528851,NaN,NaN,NaN,0.213796940978526
10,NaN,NaN,0.221641660670458,0.14002652667032,0.0772618619338967,0.135469686043857
15,0.0260733654202722,0.52718819206212,-0.168239464869722,-0.114688385107482,0.117576706541134,0.0173868997734831
20,NaN,0.678425926746121,0.120549806894164,0.0219815861226969,-0.338260371162989,0.125321016065994
25,0.0246616996404278,0.7245558046806,-0.187929338947456,0.18069926970673,-0.00336701914833502,0.0675249512343433
30,NaN,NaN,0.0365244645410522,-0.0292977612579165,0.0325687589076939,-0.0393283980203005
35,0.0230962325096121,0.679602038409755,0.0118614578242513,-0.225253307172384,0.0219940868787465,0.260669247898803
40,NaN,0.705639181815729,NaN,NaN,NaN,NaN
45,NaN,NaN,-0.0703802569614887,-0.0957207150224826,0.109715338988046,0.153176182417783
50,0.023772721874471,NaN,NaN,NaN,NaN,0.0486016835536825
60,NaN,NaN,NaN,NaN,NaN,0.0635214725066939
75,NaN,NaN,NaN,NaN,NaN,0.230807067258181
85,NaN,NaN,NaN,NaN,NaN,-0.00762524585928811
