t,cAMP_Obs,RII_C_2_Obs,AC_Fsk_Obs,RIIp_2_Obs,Csub_Obs
0,-0.00147586862376929,0.559011295526425,0.0558755593629017,0.118018355747609,0.206482010685575
3.5,0.21468457169571,NaN,NaN,NaN,NaN
5,NaN,NaN,NaN,0.119116346912429,NaN
5.5,NaN,0.540194893773599,NaN,NaN,NaN
7.5,0.260693587734208,NaN,NaN,NaN,NaN
8.5,NaN,NaN,0.0378968083690509,NaN,NaN
10,0.253860591614661,0.572822679101709,NaN,0.1239316840771,NaN
15,0.226358325906805,0.61495652068433,NaN,0.110069875648519,0.249449680802525
20,NaN,NaN,0.232041885483417,0.119627044627906,NaN
25,0.291186116620862,0.517007260177674,NaN,NaN,NaN
30,0.255941157540108,0.615232060964826,0.108571634551677,0.116294476764751,0.230552793519779
35,NaN,NaN,NaN,0.128491013489453,NaN
40,NaN,0.597189784180496,0.228221350897554,NaN,NaN
45,NaN,0.802793321602857,NaN,0.123061066473051,0.214210043022733
50,NaN,NaN,0.133644817002882,0.111564039829869,NaN
55,NaN,0.646955633089212,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,0.243804439951154
65,NaN,NaN,NaN,0.140697277661072,NaN
70,NaN,0.664141658790003,-0.22632545637827,NaN,NaN
75,NaN,NaN,NaN,0.106247007634786,NaN
80,NaN,0.571531548855652,NaN,NaN,0.189878899332439
85,NaN,NaN,0.0715180380469148,NaN,NaN
95,NaN,0.600213249715776,NaN,NaN,NaN
100,NaN,NaN,0.18908326612345,NaN,0.20064579504534
150,NaN,NaN,NaN,NaN,0.221153957129195
200,NaN,NaN,NaN,NaN,0.229463595883168
250,NaN,NaN,NaN,NaN,0.213904430194491
300,NaN,NaN,NaN,NaN,0.186410497540683
