t,cAMP_Obs,RII_C_2_Obs,AC_Fsk_Obs,RIIp_2_Obs,Csub_Obs
0,0.0876572104801938,0.541932972140916,0.00758762009309015,0.115049837055314,0.196018521376862
7.5,NaN,NaN,0.0105307020041912,NaN,NaN
8.5,0.0123562545140009,NaN,NaN,NaN,NaN
15,-0.0173592856658447,NaN,0.000755193710710752,NaN,NaN
20,NaN,0.529928257177939,NaN,0.111236405815867,NaN
25,-0.0265508749725241,NaN,0.00777469454444908,NaN,0.130780544765558
35,-0.00806610095392285,NaN,-0.012357177104366,NaN,NaN
45,NaN,0.520864466241007,0.0156832398782604,0.110774685209677,0.111562621630251
50,0.0912520553133735,NaN,NaN,NaN,NaN
55,NaN,NaN,-0.00329814031090863,NaN,NaN
60,0.0385188900672114,NaN,NaN,NaN,NaN
70,NaN,0.490499302085264,0.143303451323368,0.128340254309698,0.0884813984648864
80,1.49570778087578,NaN,NaN,NaN,NaN
85,NaN,NaN,0.145270586248226,NaN,NaN
95,NaN,0.511439916619106,NaN,0.128519591512519,NaN
100,1.52543631820646,0.418061052300021,0.142677834942892,0.12580492838301,0.0596451652642297
150,NaN,0.357223315881895,NaN,0.114695654303771,0.0478796472255948
200,NaN,0.392502133601294,NaN,0.0887452486278396,0.0374255058762229
250,NaN,0.399676628764217,NaN,0.0744521824788939,0.0307226074461816
300,NaN,0.349284128536874,NaN,0.0730339624599511,0.0290693565877157
350,NaN,0.320950321853627,NaN,0.0930512865006254,0.0310983429619078
450,NaN,0.280136792175233,NaN,0.0612568986277575,0.00455333198935011
