t,cAMP_Obs,RII_C_2_Obs,AC_Fsk_Obs,RIIp_2_Obs,Csub_Obs
0,-7.3554272833235,0.62094855045399,0.0285511479765132,0.0805789983710801,0.261976220113444
6,NaN,0.65750379137382,NaN,NaN,NaN
7.5,-2.34371513733066,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,0.10895452826492,NaN
9.5,NaN,NaN,-0.015206976342399,NaN,NaN
10,NaN,0.544975535245761,NaN,NaN,NaN
15,35.3299439780184,NaN,NaN,0.165737439262093,0.262156040866249
20,NaN,0.498579859461545,0.397947302270289,NaN,NaN
25,31.950354207561,0.482729650024636,NaN,0.187299086438713,NaN
30,39.0602103970789,NaN,0.385001325487045,NaN,0.286168611246712
35,NaN,0.569409441552683,NaN,NaN,NaN
40,27.815790284774,NaN,0.382496361147972,0.126783707424875,NaN
45,NaN,0.568062724645483,NaN,NaN,0.270826134945048
50,33.3958700498378,0.618479739728229,0.430041860356947,0.146688989927682,NaN
60,NaN,NaN,NaN,NaN,0.182202282034557
65,32.6632185064429,0.579093060356288,0.396902485301784,NaN,NaN
70,NaN,NaN,NaN,0.142299455526172,NaN
75,33.4879155137852,0.547971231173991,NaN,NaN,NaN
80,NaN,NaN,0.32152990246279,NaN,0.265700167740857
90,NaN,0.751200874506254,NaN,NaN,NaN
95,30.6323317829555,NaN,0.382595518007407,NaN,NaN
100,35.1381280933745,0.617630617211723,0.353883405952603,NaN,0.254610907107426
150,40.8436992066649,NaN,0.317110386161106,NaN,0.259196272538679
200,NaN,NaN,0.463959563246368,NaN,0.229677455396115
250,NaN,NaN,NaN,NaN,0.267581867801653
300,NaN,NaN,NaN,NaN,0.214327004372103
