t,cAMP_Obs,RII_C_2_Obs,AC_Fsk_Obs,RIIp_2_Obs,Csub_Obs
0,-0.0424518242301013,0.505409808895884,-0.0330486273479237,0.135327014150589,0.185030008747031
6.5,0.220294856999018,NaN,NaN,NaN,NaN
7,NaN,NaN,-0.00641610388409787,NaN,NaN
9,NaN,NaN,NaN,0.117985240673618,0.227951250235755
10,NaN,0.52325008747854,NaN,NaN,NaN
15,-0.250598876039963,NaN,-0.00123437780873047,NaN,NaN
20,-0.18826473110347,NaN,0.000296739961529759,0.101272215332911,0.183294086827309
25,NaN,0.524499263339518,NaN,NaN,NaN
30,0.0105388857077477,NaN,-0.00665347043438168,0.119555492479508,0.163552170973231
35,NaN,0.580516954765023,NaN,NaN,NaN
40,-0.240146196908776,NaN,-0.0146373798672845,0.099352144849094,0.2655821870935
50,-0.174374912905442,0.658910438064618,0.0175148490411838,0.119466791936498,0.222850614344054
60,NaN,NaN,-0.00593362523720016,NaN,NaN
65,3.59258694575971,0.463324081001082,NaN,0.127702589304792,0.250689042594163
75,NaN,NaN,0.376826043669251,NaN,NaN
80,NaN,NaN,NaN,0.115624777639097,0.266391539692103
85,3.69451487378886,0.553691907746515,NaN,NaN,NaN
90,NaN,NaN,0.370848665137566,NaN,NaN
95,NaN,NaN,NaN,0.152603380278079,0.20564426976257
100,3.44305403284263,0.629319051162393,0.351394475911466,0.131646254113353,0.261152004971259
150,NaN,0.689733938217938,NaN,0.159110039804821,0.212982666055343
200,NaN,0.57442873369421,NaN,NaN,NaN
