t,ApoER2_re_Dab1_Obs,ApoER2_Dab1_released_Obs,SFK_Obs
0,0,0.0315716357141233,0.0016385786247173
15,NaN,0.625474409623222,NaN
20,7.51605574243969e-05,NaN,4.48832147500353e-05
30,NaN,0.266999866317123,NaN
35,4.62993967793364e-05,NaN,NaN
45,NaN,NaN,0.000145917554235218
50,NaN,0.427548496911025,NaN
55,2.12639334956534e-05,NaN,NaN
65,NaN,0.373972357615941,0.000278629909736018
80,8.18811491091019e-06,NaN,NaN
85,NaN,0.321491936671807,NaN
90,NaN,NaN,0.000557333212952454
100,7.23179274501082e-06,0.264666940504056,0.000787742723092248
150,2.94602287279896e-06,0.119026003951268,0.00094939899010657
200,2.90378193308319e-06,0.0636638775245082,0.00134151025048861
250,2.29542129359997e-06,0.0669431881383569,0.00184649868030734
300,NaN,0.0441694922733993,0.00196248580860447
350,NaN,NaN,0.00185022219650677
