t,ApoER2_Dab1_released_Obs,SFK_Obs
0,3.61263790785088e-09,6.47668663756644e-10
6,3.81253252448821e-09,NaN
15,4.45806088648874e-09,NaN
20,3.88775685005143e-09,NaN
25,4.84851364640364e-09,4.81523934570484e-10
35,2.79746410923571e-09,NaN
45,3.05897152131062e-09,NaN
55,NaN,4.50514787187536e-10
85,NaN,3.93434404379034e-10
100,NaN,4.99209840806959e-10
150,NaN,4.81530648754197e-10
200,NaN,3.70454361890889e-10
250,NaN,4.87188343778601e-10
300,NaN,3.56399036128131e-10
350,NaN,4.38028799184092e-10
450,NaN,4.99017361325782e-10
550,NaN,3.78251504660489e-10
