t,Reelin_input,ApoER2_re_Dab1_Obs,ApoER2_Dab1_released_Obs
28,0,0,0.0393388457875575
28,0.00012207,1.57036895610127e-06,0.041791404650853
28,0.00024414,3.63127966032926e-06,0.0306728081518604
28,0.00048828,3.35589111659393e-06,0.0297681711498361
28,0.00097656,3.8012033707519e-06,0.0311731951431817
28,0.0019531,2.92850839365317e-06,0.0365938875864185
28,0.0039062,2.27730299441183e-06,0.110989612484176
28,0.0078125,3.82283575965426e-06,0.123746974198541
28,0.015625,4.69930269471047e-06,0.231514621620972
28,0.03125,3.56574822993284e-06,0.195136772114394
28,0.125,1.54360868036138e-05,0.355414457778375
28,0.25,3.20285183495437e-05,0.442173086293635
28,0.5,2.90641132117836e-05,0.41323355815067
28,1,7.64100449442663e-05,0.460823920900621
