t,ApoER2_re_Dab1_Obs,ApoER2_Dab1_released_Obs
0,0,3.8397956951661e-09
15,NaN,1.25360268239108e-08
30,0.304586769237683,NaN
35,NaN,1.70018480046152e-08
50,NaN,3.06624311743525e-08
60,0.510146860490891,NaN
70,NaN,3.8717693427124e-08
90,0.864368675425728,NaN
95,NaN,5.82175079452864e-08
100,1.34053980261939,6.3075511739317e-08
150,1.06532683005613,6.34144293312837e-08
200,0.962896344507989,1.09142457560325e-07
250,0.77799184867826,9.80563344654793e-08
300,1.26532719700497,5.43675433659597e-08
350,NaN,1.11559933150375e-07
400,1.49665889873071,NaN
450,1.42617562192699,NaN
600,1.50003475951446,NaN
