t,ApoER2_re_Dab1_Obs,ApoER2_Dab1_released_Obs
0,0,0.0401840692406986
20,NaN,0.147265659036127
35,4.44133674058181e-06,NaN
40,NaN,0.184657448332609
60,NaN,0.132305556872712
65,4.21993147363427e-06,NaN
80,NaN,0.0901654630640775
100,2.43617176315335e-06,0.112199140179773
150,1.32215040188492,0.061711518949924
200,2.80691153026995e-06,0.0662884041910985
250,2.96466065084162e-06,0.0416226373504013
300,1.77566473741421e-06,0.0338320525200556
350,NaN,0.0359487410913393
400,1.81650921315375e-05,NaN
450,3.6656528876489e-06,NaN
600,NaN,NaN
