t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,EGF_EGFR_Obs
0,41348254.8791355,-976.669225438558,-2.83508933493235e-06,0.0248886389600567,1.22548446985427e-05,184.796408744698,1.84565575450112e-06,-4069.18612946783
75,NaN,NaN,NaN,NaN,NaN,213.476301954671,NaN,NaN
150,29935605.534411,NaN,6.7070182324019e-05,NaN,NaN,192.130176332326,NaN,148572.700768698
200,NaN,250326.30794578,NaN,NaN,NaN,NaN,NaN,NaN
250,NaN,NaN,NaN,NaN,NaN,194.237329163566,NaN,NaN
300,21581237.7683926,NaN,4.91754020516083e-05,NaN,NaN,NaN,NaN,NaN
350,NaN,184056.955334437,NaN,NaN,NaN,200.57148315192,NaN,97556.5369422718
450,14926961.3962814,NaN,3.65894118047756e-05,NaN,NaN,222.733501780911,NaN,NaN
500,NaN,NaN,NaN,0.0244406899487258,0.00073194049448699,NaN,NaN,78995.5901009918
550,NaN,125833.225892402,NaN,NaN,NaN,217.300148897518,0.00032777959413939,NaN
600,11776268.3969237,NaN,NaN,NaN,NaN,NaN,NaN,NaN
650,NaN,NaN,2.40467028996208e-05,NaN,NaN,NaN,NaN,NaN
700,NaN,NaN,NaN,NaN,NaN,204.725070417151,NaN,45331.5225280485
750,6873160.40640401,79854.2792523402,NaN,NaN,NaN,NaN,NaN,NaN
850,NaN,NaN,1.25749058335225e-05,NaN,NaN,209.705639101696,NaN,NaN
950,6555116.50016961,NaN,NaN,0.0265992398137089,NaN,NaN,NaN,38064.9776597769
1000,6410625.09123859,57425.6300369199,1.30366104715719e-05,NaN,0.000262367103844867,204.974518476525,0.000395474689387303,25545.5315571634
1500,1266065.11364579,13050.0224295672,4.26236473975368e-06,0.0271772146369374,0.000108606556736821,NaN,0.000359334012149532,10122.5356466227
2000,-160542.603110599,-615.153192824667,2.39843958399559e-06,0.0211523822934679,4.07714343271674e-05,NaN,NaN,NaN
2500,-49492.6621265809,-1128.93756276975,-1.57256687962691e-07,0.0230335379083469,NaN,NaN,0.000318485078625638,NaN
3000,NaN,-2570.42860987211,1.82380015799244e-06,NaN,5.94727038090617e-06,NaN,0.000262247339508748,NaN
3500,NaN,6004.31581640767,NaN,0.0257213841093236,1.55938467898087e-05,NaN,NaN,NaN
4000,NaN,NaN,NaN,NaN,NaN,NaN,0.000232319686979404,NaN
4500,NaN,NaN,NaN,0.0227935323549686,9.12246273734427e-06,NaN,0.000210038578812909,NaN
5000,NaN,NaN,NaN,0.0242984588669107,NaN,NaN,NaN,NaN
5500,NaN,NaN,NaN,NaN,-7.07103059793229e-06,NaN,NaN,NaN
6000,NaN,NaN,NaN,NaN,NaN,NaN,0.000141633312924334,NaN
6500,NaN,NaN,NaN,0.0256471046708313,NaN,NaN,NaN,NaN
7000,NaN,NaN,NaN,NaN,1.33687698497134e-05,NaN,0.000126439006138367,NaN
7500,NaN,NaN,NaN,0.024649466832796,NaN,NaN,NaN,NaN
8500,NaN,NaN,NaN,NaN,NaN,NaN,8.22592697696842e-05,NaN
