t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,EGF_EGFR_Obs
0,43249559.2415615,-9968.08699572095,-2.74918753937591e-06,0.0293034495452147,3.46119594356146e-05,221.570141505234,-4.77351101373085e-06,10054.3983546462
65,NaN,NaN,NaN,NaN,NaN,195.956382211743,NaN,NaN
150,29441758.8553443,NaN,NaN,NaN,NaN,204.17323284677,NaN,425730.820788692
200,NaN,688755.841223653,NaN,NaN,NaN,216.84185969856,NaN,NaN
300,19103965.477242,NaN,0.000122838285153227,NaN,NaN,206.094807042918,NaN,290169.612291758
400,NaN,430021.700568655,NaN,NaN,0.00214907515198371,191.624004597071,NaN,NaN
450,12499203.2750283,NaN,NaN,0.0252023446658449,NaN,NaN,NaN,180449.441850137
500,NaN,NaN,NaN,NaN,NaN,204.41727339307,0.00065071504473034,NaN
600,NaN,250429.871644357,5.9569917794161e-05,NaN,NaN,200.670517811356,NaN,152365.772297238
650,7307267.46200192,NaN,NaN,NaN,NaN,NaN,NaN,NaN
800,5414238.73775646,169011.643004806,NaN,NaN,NaN,NaN,NaN,68646.3431002772
850,NaN,NaN,NaN,0.0253537596966152,0.000770493467689045,NaN,NaN,NaN
900,NaN,NaN,2.94420317287447e-05,NaN,NaN,NaN,NaN,NaN
1000,4116026.67852464,85705.4399573173,NaN,NaN,NaN,NaN,0.000918438683531589,49771.8960594288
1500,-681185.352596689,45383.6901867669,5.28328712710656e-06,0.0229269679555953,0.000137513712754204,NaN,0.00090996386037337,16652.7465680146
2000,1151487.69562707,3499.35329648921,3.44109637690493e-06,0.0285184156097456,5.06813167185795e-05,NaN,0.000908130068925982,6234.36655078419
2500,1329111.30702652,-9697.36235252307,NaN,0.0229259860799615,1.12417343226092e-05,NaN,NaN,2009.42743934862
3000,394231.691069291,14662.0555463713,NaN,0.0240464253620767,2.36634051103208e-05,NaN,0.000673486277914529,NaN
3500,NaN,10956.7721296488,NaN,NaN,NaN,NaN,0.000578569117176419,NaN
4000,NaN,NaN,NaN,0.0237203562778147,4.97362677134465e-05,NaN,NaN,NaN
4500,NaN,NaN,NaN,NaN,-2.29118513853384e-05,NaN,0.000426100145163307,NaN
5000,NaN,NaN,NaN,0.0298278623570859,NaN,NaN,NaN,NaN
5500,NaN,NaN,NaN,NaN,2.64349756747764e-05,NaN,NaN,NaN
6000,NaN,NaN,NaN,0.0265730565945972,NaN,NaN,0.000284621555328586,NaN
7000,NaN,NaN,NaN,NaN,NaN,NaN,0.000273340905047601,NaN
7500,NaN,NaN,NaN,0.0286778869110201,NaN,NaN,NaN,NaN
8500,NaN,NaN,NaN,NaN,NaN,NaN,0.000220597895176236,NaN
