t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,EGF_EGFR_Obs
0,41385253.009058,-139631.022077671,-1.3192117732572e-05,0.0275251829216123,-4.32824208122706e-05,207.021470714624,-5.05161070822982e-06,-52388.3681716999
50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4026054.13075002
55,24533448.445441,5117375.51875683,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,224.710186955255,NaN,NaN
85,NaN,NaN,0.000773425145668151,NaN,NaN,NaN,NaN,NaN
100,16908062.9551723,5592660.72759431,NaN,NaN,NaN,NaN,NaN,3021097.093083
150,10141855.045901,4360161.31431283,0.000533156955844866,NaN,NaN,187.36580724037,NaN,1796654.41005743
200,NaN,NaN,NaN,NaN,0.010317872572008,NaN,NaN,1374096.07657255
250,3941643.49637209,1965259.44319729,0.000312046461759613,NaN,NaN,194.637514555223,NaN,720098.443566076
300,1169541.97629663,908805.244963688,NaN,0.0178013507895544,NaN,206.313190673335,NaN,NaN
350,NaN,NaN,0.000135111162518273,NaN,NaN,NaN,NaN,326947.705110666
400,2990922.89883677,457362.358126228,NaN,NaN,NaN,NaN,NaN,141860.515320616
450,NaN,NaN,NaN,NaN,0.00213897292586902,188.647278921107,0.00181069374026848,NaN
500,784015.852612721,100941.85574448,7.19254210675404e-05,NaN,NaN,NaN,NaN,53758.9252725696
550,NaN,NaN,NaN,NaN,NaN,212.446601146416,NaN,NaN
600,NaN,175881.486560221,2.0552808097783e-05,0.0228916742016449,NaN,NaN,NaN,67495.003843326
700,NaN,NaN,NaN,NaN,0.000522441576747398,205.55468149955,NaN,-48510.1480792726
750,NaN,26799.3190620102,2.28387487088852e-05,NaN,NaN,NaN,NaN,NaN
800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58681.6074130661
850,NaN,NaN,NaN,NaN,NaN,217.346192705212,NaN,NaN
900,NaN,NaN,7.09926375611839e-06,NaN,NaN,NaN,NaN,NaN
950,NaN,154787.757695355,NaN,0.0232694697819486,NaN,NaN,0.00183381754393138,76489.585674715
1000,NaN,NaN,-1.56065516056555e-05,NaN,-0.000144422796255347,209.153988195526,NaN,NaN
1500,NaN,NaN,-1.35245730998444e-05,0.0237141305206528,-3.48029777716444e-05,230.252753851699,0.00169862607155317,NaN
2000,NaN,NaN,NaN,0.0251452476862829,0.000104694943379783,NaN,0.00146792585616983,NaN
2500,NaN,NaN,NaN,0.0220897703646918,0.000170545859673629,NaN,0.00126611274150404,NaN
3500,NaN,NaN,NaN,0.0238361810078656,NaN,NaN,0.00113346008386385,NaN
4000,NaN,NaN,NaN,0.0221798815207805,NaN,NaN,0.000987081340988978,NaN
5000,NaN,NaN,NaN,0.0233164753465085,NaN,NaN,0.000629127742672997,NaN
6000,NaN,NaN,NaN,NaN,NaN,NaN,0.000631406656224601,NaN
7000,NaN,NaN,NaN,NaN,NaN,NaN,0.000438796375179715,NaN
8500,NaN,NaN,NaN,NaN,NaN,NaN,0.000259225764243227,NaN
