t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,EGF_EGFR_Obs
0,41230735.7125675,43860.1969873925,-3.19379616049386e-08,0.0273694536736323,-5.15215514741018e-06,195.466651826537,-4.45094484948888e-05,-66909.6925298252
30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14303695.9099974
40,2968975.33784935,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,NaN,16622194.8996421,NaN,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,0.00116268397840701,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4636890.01577924
80,-618322.042627569,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1410529.0418517
95,NaN,7830592.8274234,NaN,NaN,NaN,NaN,NaN,NaN
100,NaN,NaN,0.000605246765512247,NaN,NaN,NaN,NaN,NaN
150,294726.223952009,1936243.3815226,0.000257963224949661,NaN,NaN,182.164321128559,NaN,279466.265183008
200,-441055.130510106,353175.773454512,0.000113440717667401,NaN,NaN,NaN,NaN,60985.9972829991
250,-179640.052623976,-90939.0320511648,NaN,0.0199708564358594,0.00304742446594308,NaN,NaN,-285047.83741274
300,-195701.178626319,65612.6423477689,-9.64909654795935e-06,NaN,NaN,213.035549575109,NaN,-141419.64133511
350,NaN,NaN,-7.63089690931472e-06,NaN,NaN,NaN,NaN,342362.854678211
400,267087.514810559,78802.3082759773,NaN,NaN,NaN,NaN,NaN,NaN
450,NaN,NaN,-3.41790623971698e-06,NaN,NaN,209.575655548286,0.00162285967528751,281719.81539935
500,NaN,-355634.276261331,NaN,0.0259102928631035,NaN,NaN,NaN,-220352.863010189
550,NaN,NaN,-2.01373857518968e-06,NaN,8.04091699496883e-05,NaN,NaN,NaN
600,NaN,-91289.7346749146,NaN,NaN,NaN,195.727110393326,NaN,NaN
650,NaN,NaN,1.68249191885934e-05,NaN,NaN,NaN,NaN,NaN
750,NaN,-423626.665510943,NaN,NaN,NaN,NaN,NaN,NaN
800,NaN,NaN,-3.60039915291667e-06,0.0284433168044706,NaN,201.097575324929,NaN,NaN
850,NaN,NaN,NaN,NaN,6.83806956176182e-05,NaN,NaN,NaN
950,NaN,NaN,NaN,NaN,NaN,NaN,0.00139557587792106,NaN
1000,NaN,NaN,NaN,0.0249917700314928,4.56460349811964e-05,228.835438669233,NaN,NaN
1500,NaN,NaN,NaN,0.0224015992058738,4.53787653336815e-05,196.105056543776,0.00120201689832147,NaN
2000,NaN,NaN,NaN,0.0220356565115724,7.91949692068984e-06,247.491026531161,0.0013445273047656,NaN
2500,NaN,NaN,NaN,0.0281780654189016,2.48068003955824e-05,188.919595351726,0.00114574269068989,NaN
3000,NaN,NaN,NaN,NaN,4.32132514352183e-05,NaN,NaN,NaN
3500,NaN,NaN,NaN,NaN,NaN,NaN,0.000985174760669175,NaN
4000,NaN,NaN,NaN,NaN,NaN,NaN,0.000796225200919354,NaN
5000,NaN,NaN,NaN,NaN,NaN,NaN,0.000642285410049369,NaN
6000,NaN,NaN,NaN,NaN,NaN,NaN,0.000558627237342858,NaN
7500,NaN,NaN,NaN,NaN,NaN,NaN,0.000412342323818301,NaN
8500,NaN,NaN,NaN,NaN,NaN,NaN,0.000300882715975915,NaN
