t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,EGF_EGFR_Obs
0,42103904.1170522,10800.820933722,1.23275992698022e-06,0.0259124181568127,2.14571685317059e-05,195.091218256845,-0.00010171985111612,5441.50518722243
85,NaN,NaN,NaN,NaN,NaN,238.852663913191,NaN,NaN
100,27449027.3656421,2342015.14330901,NaN,NaN,NaN,NaN,NaN,1427688.58531824
150,NaN,NaN,0.000374003285286582,NaN,NaN,197.559724012748,NaN,NaN
200,18485464.9910551,1820866.37025849,NaN,NaN,NaN,NaN,NaN,1000441.13369244
250,NaN,NaN,NaN,NaN,NaN,193.784800239196,NaN,NaN
300,11124759.0821665,1269490.76088411,0.000228930500721827,NaN,NaN,NaN,NaN,629399.564114326
350,NaN,NaN,NaN,NaN,0.00465186528914617,195.420812800654,NaN,NaN
400,7165708.72340909,NaN,NaN,0.0199203325944328,NaN,NaN,NaN,NaN
450,NaN,650813.387357898,0.000124234291394304,NaN,NaN,NaN,0.00137654828118946,298066.807966434
500,NaN,NaN,NaN,NaN,NaN,177.58672834771,NaN,NaN
550,4994701.09283573,415956.925993652,NaN,NaN,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,202545.576740824
650,NaN,NaN,5.71524216151734e-05,NaN,NaN,203.70170779976,NaN,NaN
700,2533433.23348784,173943.607652831,NaN,NaN,0.00144194185501412,NaN,NaN,NaN
750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,105696.251813259
800,NaN,NaN,NaN,NaN,NaN,216.376951713399,NaN,NaN
850,3371908.35244522,59722.379334367,1.69708029901385e-05,0.0210250192117361,NaN,NaN,NaN,NaN
900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51860.409676791
950,NaN,NaN,NaN,NaN,NaN,NaN,0.00171812850513459,NaN
1000,-263596.083427327,122176.107030002,1.08198619531521e-05,NaN,0.000386763974354247,196.187180111052,NaN,76041.8493438771
1500,-1638123.45797902,-47345.4638254859,-1.41098734336457e-05,0.0208871791960891,7.58284172786643e-05,199.09854900745,0.00147135011662017,-26515.3004440652
2000,-262846.199620867,-9293.30446784042,NaN,0.0272147071257662,8.31960512036162e-06,NaN,0.00141394464894454,-33804.5685280414
2500,NaN,NaN,NaN,0.0250158720896777,1.24057263996911e-05,NaN,0.00124831160323528,NaN
3000,NaN,NaN,NaN,0.0271004199845196,0.000106798232605004,NaN,0.000942672127749079,NaN
4000,NaN,NaN,NaN,0.0271662106984583,-3.62810716018385e-05,NaN,0.000951517712912165,NaN
4500,NaN,NaN,NaN,0.0272725482980315,NaN,NaN,NaN,NaN
5000,NaN,NaN,NaN,NaN,8.74945957784387e-05,NaN,0.000885699575104091,NaN
6000,NaN,NaN,NaN,0.0238334179403108,NaN,NaN,0.000516304448532265,NaN
7000,NaN,NaN,NaN,0.0275106008884673,NaN,NaN,0.000295551457057151,NaN
8500,NaN,NaN,NaN,NaN,NaN,NaN,0.000247610848338506,NaN
