t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,EGF_EGFR_Obs
0,41769176.8173368,337788.863049413,-8.98938370031361e-06,0.0268660745739667,8.91722985304967e-07,201.718501667243,-3.17625572151966e-05,40598.6157430585
35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9454062.82805583
45,13591556.3567211,10630662.6477705,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,NaN,0.00103655329219186,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5483702.51477254
90,4416076.04390572,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,9256746.91754736,NaN,NaN,NaN,NaN,NaN,NaN
100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3018675.44554685
150,473601.831821954,3937969.14029584,0.000445390313070711,NaN,NaN,187.707589681183,NaN,885421.080717821
200,105190.890297326,1775683.31702093,0.000237654984246386,NaN,NaN,NaN,NaN,441094.338047626
250,771140.838417511,495499.985726964,0.000104342705295391,0.0179234729027466,NaN,NaN,NaN,48962.8010283724
300,NaN,2459.05656678329,NaN,NaN,0.00283739859504354,NaN,NaN,147320.001645451
350,-276690.316819747,NaN,1.0962019953774e-05,NaN,NaN,234.51789890375,NaN,46141.2710203158
400,NaN,198236.582624678,NaN,NaN,NaN,NaN,NaN,NaN
450,-701342.039790404,NaN,1.62083603672057e-05,0.0220590844003229,NaN,NaN,NaN,-151776.436253324
500,NaN,264740.400915034,NaN,NaN,NaN,216.548061833601,NaN,NaN
550,NaN,NaN,-9.74079869222195e-06,NaN,7.88038426506098e-05,NaN,0.00166792793558661,-10066.8305017767
600,NaN,-441707.51531833,NaN,NaN,NaN,NaN,NaN,NaN
650,NaN,NaN,-2.25596343646052e-06,NaN,NaN,NaN,NaN,-33321.2921836502
700,NaN,NaN,NaN,NaN,NaN,208.984226887557,NaN,NaN
750,NaN,39792.1534508908,4.02068463010233e-06,0.0239510717322736,NaN,NaN,NaN,NaN
900,NaN,181123.531472406,4.46377093503533e-06,NaN,5.12206248977357e-05,NaN,NaN,NaN
950,NaN,NaN,NaN,NaN,NaN,213.481890438039,NaN,NaN
1000,NaN,NaN,-2.22439210602535e-06,0.0249432269926848,2.02360776322463e-05,208.931320935288,0.0016159770838119,NaN
1500,NaN,NaN,NaN,0.0215844967466282,3.36541662994184e-05,216.706440034913,0.00145188752545731,NaN
2000,NaN,NaN,NaN,0.0264320491994474,1.2362073370258e-05,207.78094024815,NaN,NaN
2500,NaN,NaN,NaN,0.0269488201361071,4.38956506791767e-05,209.4881586963,0.00106418133459922,NaN
3000,NaN,NaN,NaN,NaN,NaN,213.725687787547,0.000912910784334386,NaN
3500,NaN,NaN,NaN,NaN,3.35090831254135e-05,NaN,NaN,NaN
4000,NaN,NaN,NaN,NaN,NaN,NaN,0.000835332842363114,NaN
4500,NaN,NaN,NaN,NaN,NaN,NaN,0.000805942426123297,NaN
6000,NaN,NaN,NaN,NaN,NaN,NaN,0.00058439134698169,NaN
7000,NaN,NaN,NaN,NaN,NaN,NaN,0.000319083591428262,NaN
8500,NaN,NaN,NaN,NaN,NaN,NaN,0.000269109276832879,NaN
