t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,1.46111261224405,4.72762665694865e-05,0.0411565174329494
10,NaN,3.62460222044615e-07,NaN
20,0.433484177740057,4.35035060063034e-07,NaN
30,NaN,NaN,0.747055716458471
35,0.260514401317446,2.95077934626261e-07,NaN
45,NaN,3.2569755214089e-07,NaN
55,0.176021052093433,NaN,NaN
60,NaN,3.38946789754226e-07,0.599851067638913
75,0.139447296479613,2.79400086716469e-07,NaN
95,NaN,3.29307398017982e-07,0.418231688569924
100,0.0971235900734611,2.61608511826993e-07,NaN
150,0.0226543040853161,2.29772491619363e-07,0.754262593611421
200,0.00905407475328225,NaN,0.318991981063134
250,0.00443183243850768,NaN,0.375604314929707
300,0.00321060697522569,NaN,0.202393240370563
350,0.00239456628523608,NaN,0.173275848063233
