t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,1.01294610525373,7.51468885148493e-05,0.0669951287129075
15,NaN,1.4302651458122e-05,0.567963261251681
20,0.582198897401242,NaN,NaN
35,NaN,1.60037944413822e-05,0.271225898879081
45,0.678518750307251,NaN,NaN
50,NaN,2.07135285475383e-05,NaN
55,NaN,NaN,0.231495913164496
65,1.18178089642958,NaN,NaN
70,NaN,2.8115746270167e-05,NaN
75,NaN,NaN,0.268287099284512
90,0.583760258453309,1.75666071333161e-05,NaN
95,NaN,NaN,0.285668756608257
100,0.873422353437268,2.34868587184606e-05,0.301909527366699
150,1.11087501804317,2.88071816916637e-05,0.111542352052671
200,0.613769339995634,2.58398198514408e-05,0.0711686590470986
250,0.686083845798879,2.16835538290367e-05,0.0804350908003984
300,0.568600695067578,3.90075555666416e-05,0.0629312887328295
350,0.892978282219828,3.35338037984089e-05,NaN
400,1.79625520397885,NaN,NaN
500,0.587383644342597,NaN,NaN
600,0.774478379908114,NaN,NaN
