t,Reelin_input,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
10,0,1.3234616784189,3.76136685071984e-05,0.0419268191407553
10,0.00012207,0.85313797989619,5.56627768671194e-05,0.0367870637186214
10,0.00024414,0.724750597941737,2.41285272210002e-05,0.0393260824048908
10,0.00048828,0.824869648606805,3.40272112910958e-05,0.0658445574361454
10,0.00097656,0.607687731365762,5.71898391546608e-05,0.125112033057869
10,0.0019531,1.38368724120607,3.18818746469254e-05,0.160987024111511
10,0.0039062,0.769536862653289,2.99037680251277e-05,0.321806678837765
10,0.0078125,0.553646056074606,3.14129467530549e-05,0.259835118838096
10,0.015625,0.564085862181643,1.25223616473622e-05,0.318070259297131
10,0.03125,0.525410904816512,8.34402844539229e-06,0.596032810002092
10,0.125,0.395255279036956,1.96049931085374e-06,0.508422320238713
10,0.25,0.392648112690067,9.85554529293956e-07,0.561126306454637
10,0.5,0.320975676099396,8.03246250053886e-07,0.624992292356387
10,1,0.288463479485036,5.17248677077853e-07,0.491010131382827
