t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,0.98234430883691,0.000963336285703065,0.000638884094374335
15,NaN,NaN,0.00063606754703118
20,NaN,0.000709641650163079,NaN
30,1.09448589029208,NaN,0.000342052330894967
35,NaN,0.000493111944898293,NaN
50,NaN,NaN,0.000229243253823588
60,1.22451824055469,0.00070056439452864,NaN
65,NaN,NaN,0.00020236094273556
80,NaN,0.00117708032858574,NaN
85,NaN,NaN,9.58134517358451e-05
90,1.49260077057136,NaN,NaN
100,NaN,0.000533147942616328,8.23987042136794e-05
150,1.94086515477719,0.00057515295082139,2.41818904586913e-05
200,1.89185240164348,0.000676841506483096,1.66559467464439e-05
250,1.18023272118297,NaN,NaN
300,1.41939960628067,NaN,NaN
400,0.880694425765869,NaN,NaN
500,1.26827815140277,NaN,NaN
600,1.28724783394585,NaN,NaN
