t,tpSTAT3_Obs,nSOCS3RNA1_Obs,Compound_2_Obs,Compound_4_Obs
0,-0.173344791908529,0.000622191055885326,1.33206619826801,55.9879301062567
5,NaN,5.15045641117568e-05,NaN,NaN
10,NaN,3.6262874496898e-06,NaN,NaN
15,9.13865298301769,-2.30457176792174e-07,NaN,157.734562939137
20,NaN,7.23425928627938e-07,10.3239710714234,NaN
30,NaN,1.96579434488489e-06,NaN,156.298265790214
35,8.65024701485074,NaN,9.52075176740438,NaN
40,NaN,1.83614867138328e-06,NaN,NaN
50,8.22362571039111,NaN,NaN,135.960009864552
55,NaN,NaN,8.70014645086907,NaN
65,NaN,NaN,NaN,154.963999922549
70,8.09040599370281,NaN,NaN,NaN
75,NaN,NaN,8.61412356869862,NaN
85,NaN,NaN,NaN,132.414407225649
90,8.89624931711129,NaN,NaN,NaN
95,NaN,NaN,9.54799088133881,NaN
100,7.86488816175515,NaN,8.63713766446221,133.134971070312
150,7.00322710747099,NaN,8.15360171052254,141.541989331342
200,6.76767762149262,NaN,6.99832420666016,128.768807857083
250,6.39110156498371,NaN,6.3512368202043,132.929961350428
300,5.6691375842573,NaN,6.43632766778555,115.825915375908
350,5.47458478985693,NaN,NaN,116.615990804336
400,4.88399557634918,NaN,4.73720249936403,104.200650550279
450,NaN,NaN,3.36843277570575,111.226781045479
