t,STAT3_Obs,tpSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA5_Obs,Compound_1_Obs,Compound_2_Obs,Compound_4_Obs
0,23.3408248452821,-0.312197125430934,0.000140035949935383,4.79310713786266e-05,53.2411034789009,0.785227197743506,67.1151897315167
15,14.4729696202585,NaN,NaN,NaN,168.635593134054,8.58776893812434,NaN
20,NaN,7.0640304231487,NaN,0.0141011436655033,NaN,NaN,151.124922654894
25,NaN,NaN,0.0155556535779534,NaN,NaN,NaN,NaN
30,14.6243650113622,NaN,NaN,NaN,149.001362715492,NaN,NaN
35,NaN,7.80391839109152,NaN,NaN,NaN,8.43510573063342,146.067204496552
45,17.2891999186846,NaN,NaN,0.0160884766760139,NaN,NaN,NaN
50,NaN,NaN,0.0153747179916431,NaN,160.047328867524,7.36150922955123,NaN
55,NaN,7.70995713486248,NaN,NaN,NaN,NaN,124.47001614849
65,16.5400972494202,NaN,NaN,0.0151645508109394,143.58695354346,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,8.53494494882846,NaN
75,NaN,8.04057108694686,0.0162694531069837,NaN,NaN,NaN,131.352724014025
85,18.0345277250181,NaN,NaN,NaN,140.293687985785,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,7.99851896867322,NaN
95,NaN,7.49624031557545,NaN,0.0135001841901744,NaN,NaN,121.161759382986
100,14.9707982707675,7.46730690484511,0.0138194386588896,0.0134142490178256,143.049952235383,7.83158959018984,137.88435147811
150,18.8008328266133,5.72712966765215,0.012174676805021,0.0139148444513665,138.109147492249,6.99942678709155,136.38970263952
200,13.737755856526,6.8471734735192,0.0116865840824771,0.0124212229571753,123.491672191086,6.96374937570645,117.586498356371
250,15.3299087593638,6.30621274759142,0.00977557450856444,0.0118848940009051,133.800918448481,6.5545422295575,110.311038147621
300,17.3019569901323,6.1417345048339,0.0125947285217605,0.0100920438752739,120.215367947914,7.10748172133123,105.205041612291
350,17.1966101159827,NaN,0.00996198290553194,0.0109001817385601,121.447816831806,6.30035102109749,111.940799276554
400,NaN,5.77370655741585,NaN,0.0124743727361701,NaN,5.75179882015034,110.298958956531
450,NaN,NaN,0.0112989394102755,NaN,NaN,NaN,NaN
