t,input_ruxolitinib,tpSTAT3_Obs,Compound_2_Obs
38,0,7.31283610583889,8.02064054144815
38,0,7.33561246366722,9.04863297482765
38,10,7.85636167165673,8.75659257776205
38,50,6.91333475040506,7.62592585668481
38,100,6.35370128139143,8.5631913623973
38,200,6.41250873871529,7.8668977655363
38,400,5.22352371368438,6.03622720966291
38,500,5.36936894678304,5.56927335575972
38,600,4.36682478668246,5.40358500688762
38,800,3.73210541647367,4.02016579324866
38,800,3.94444758954346,4.6641408670997
38,1000,3.52439878083731,3.68669877761511
38,1000,3.74461479047189,4.44784891668539
38,2000,2.227443870808,1.98160955344999
38,5000,-0.0532280310858341,1.33767263589827
