t,input_il6,nSOCS3RNA5_Obs,Compound_1_Obs
36,0,-0.000177256982629485,60.9889077222755
36,0,0.000142572054574961,62.7429344358156
36,0.5,-0.0002155500672,62.3693225947915
36,0.5,0.000314193679605153,64.9417818105122
36,1,0.000240662113984185,60.0965336278578
36,1,0.000235111850589769,67.4502593474052
36,2.5,0.00125322926909033,73.0978982135788
36,2.5,0.00108359997155078,58.4300896638432
36,5,0.00346283854933839,91.7378998739291
36,5,0.00374508087537857,89.0281201108776
36,10,0.000481889320557494,69.5304433836035
36,10,0.000510217481468858,64.4748883030511
36,25,0.00244091199879894,82.2198836231186
36,25,0.00217804341587026,77.2821610467426
36,50,0.000796011644447351,62.3053620351604
36,50,0.000619457759597145,62.4032618039247
36,100,0.00307893626696556,86.3072226350164
36,100,0.00319158464687158,77.4375720414921
36,500,0.00418258823384305,95.3373116826375
36,500,0.00411810799886761,83.7280701369438
