t,tpSTAT3_Obs,Compound_2_Obs,Compound_4_Obs
0,0.609326682379132,1.6493548156644,75.1538506483164
10,NaN,10.0335054002404,146.225569120683
15,8.15668649776088,NaN,NaN
20,NaN,NaN,131.884038353462
25,NaN,5.32331664625092,NaN
30,3.46081071650659,NaN,93.944450058648
40,NaN,2.24689384524517,NaN
45,1.287094963279,NaN,82.2465856281144
55,NaN,1.64592432324655,76.701160713105
65,0.252433392032722,NaN,NaN
70,NaN,1.65799410341597,66.9234399478487
85,0.314255475991265,NaN,62.4028763872204
90,NaN,1.31562045618014,NaN
100,0.444475149711894,1.25116233157121,69.5622737128438
150,0.333550912427029,1.01373599631016,68.6320440119275
200,0.713233599726848,1.21298787094634,69.6454210291879
