t,tpSTAT3_Obs,Compound_2_Obs,Compound_4_Obs
0,0.517458622101222,1.2653267279107,63.2987031659411
8.5,NaN,NaN,104.125213354706
9.5,NaN,5.97661058546936,NaN
10,5.78988993351949,NaN,NaN
15,NaN,NaN,120.566413499636
20,NaN,7.06811436838802,NaN
25,5.98219641733006,NaN,131.242631794517
30,NaN,5.2009322931358,NaN
35,2.86808216794887,NaN,108.757946001335
40,NaN,2.98730936977737,NaN
50,1.01784668675054,NaN,76.2501838338913
55,NaN,1.65710733532468,NaN
65,0.495868694827893,NaN,70.3141865196022
70,NaN,1.15104940362495,NaN
80,0.296653642020336,NaN,70.5721306293634
90,NaN,1.44197266192023,NaN
100,0.631019205386811,1.24952677341594,65.4477790696657
150,0.83481147186748,0.927224978024321,NaN
