t,input_il6,nSOCS3RNA5_Obs,Compound_1_Obs
94,0.1,0.000112511283747027,54.1684428987057
94,0.1,-0.00032639617508166,67.2915694821174
94,0.5,0.000373690096222611,63.4765880761618
94,0.5,0.00131774775948332,60.1919000671121
94,1,0.000263817927881376,65.8360761867126
94,1,0.000186017070768797,70.5122731800099
94,2.5,0.00424092920787307,86.4439388858282
94,2.5,0.00410383548888756,87.5952854406124
94,5,0.0130691996017023,113.721307475088
94,5,0.01272702406668,120.064648878592
94,10,0.00128326824406328,71.4233177376545
94,10,0.00120485225935824,83.5371795656361
94,25,0.00756133429664088,106.260637722281
94,25,0.00728161933329615,102.847780711887
94,50,0.00229347391181984,79.4917455803423
94,50,0.00257364090998687,77.9677620033157
94,100,0.00997329518359638,114.677123382808
94,100,0.00935796815632496,109.813420087385
94,500,0.0149072208819824,143.195710130811
94,500,0.015122106627063,130.601253372825
