t,tpSTAT3_Obs,Compound_2_Obs,Compound_4_Obs
0,0.301649859396907,1.29758549144012,74.5646852042759
9,8.8180039674348,NaN,NaN
9.5,NaN,NaN,153.415248889895
10,NaN,9.41215140030283,NaN
20,8.64569732351186,NaN,147.695830965798
25,NaN,9.43363620648882,NaN
30,6.81283876411791,NaN,133.82515899195
35,NaN,6.27896806567465,NaN
40,4.02589703289615,NaN,95.9370127297987
50,2.07008788705095,2.95536498704652,NaN
55,NaN,NaN,75.1837161856664
65,1.28667374332081,1.43489047006741,NaN
70,NaN,NaN,74.8537347731616
80,0.387964402993163,NaN,NaN
85,NaN,0.989219500136084,59.4164778793898
100,0.64766229411589,1.39580060706789,70.2667308032598
150,0.511836412274098,1.09001056613502,83.361067585998
