t,input_il6,nSOCS3RNA5_Obs,Compound_1_Obs
2300,0.1,0.00140718235167059,59.4369871233936
2300,0.1,0.000626326014980985,68.0348113410542
2300,0.5,0.000613547296010841,68.3794523769163
2300,0.5,0.000454541856948367,67.0502769282949
2300,1,0.00237308946635621,70.4278884847638
2300,1,0.00263057159695189,67.1767378059237
2300,2.5,0.00651222102153494,106.040626558652
2300,2.5,0.00749336177729587,113.700354870961
2300,5,0.0118689511681324,143.165064359248
2300,5,0.0122758160589193,117.870437764483
2300,10,0.00332889922255045,103.84393176869
2300,10,0.00270108289648269,84.211068937121
2300,25,0.00955883092645357,110.553337776009
2300,25,0.0094106333550193,141.073160308198
2300,50,0.00530137224578783,101.549232924964
2300,50,0.00445770232184466,113.748046207222
2300,100,0.0110530247005092,133.483985640861
2300,100,0.0121238786745619,125.81779298336
2300,500,0.0127058514449044,141.947950309074
2300,500,0.0135418266253013,142.367070788603
