t,input_il6,nSOCS3RNA5_Obs,Compound_1_Obs
470,0.1,0.000503918500386091,54.0905243433323
470,0.1,0.000781669695476887,63.6439673787982
470,0.5,0.000758147674591448,57.2569539227061
470,0.5,0.000795399419519467,76.9477579154669
470,1,0.000144571383442495,57.386778099124
470,1,0.00187771985457853,68.7570256275538
470,2.5,0.00479676275005455,91.1356356495212
470,2.5,0.00465364794488445,78.1535194372308
470,5,0.0105027075350469,125.331904160124
470,5,0.0106229201961045,116.928683797061
470,10,0.00114005476094484,65.6217745893085
470,10,0.00147973763325791,90.1148627624729
470,25,0.00724537222555529,99.7271298798497
470,25,0.00731324918234892,99.0706267795969
470,50,0.00303612030342682,96.259315278244
470,50,0.00287170017595679,84.0914908383507
470,100,0.00933155535129209,123.33089465082
470,100,0.00951557378128269,112.232389672276
470,500,0.0120677387594307,139.898522771451
470,500,0.0120468341666552,132.167742573708
